ontology1,ontology2,count
PXO,PATO,0
PXO,PR,0
PXO,PW,0
PXO,RXNORM,0
PXO,SNOMEDCT,0
PXO,UBERON,0
PXO,UO,0
PXO,VO,0
RXNORM,ATC,0
RXNORM,BAO,0
RXNORM,BFO,0
RXNORM,BP,0
RXNORM,ChEBI,0
RXNORM,CL,0
RXNORM,CLO,0
RXNORM,DIDEO,0
RXNORM,DOID,0
RXNORM,DTO,0
RXNORM,FMA,0
RXNORM,GO,0
RXNORM,HOOM,0
RXNORM,HP,0
RXNORM,HRDO,0
RXNORM,IAO,0
RXNORM,ICD10CM,0
RXNORM,IDO,0
RXNORM,MEDDRA,0
RXNORM,MESH,0
RXNORM,MP,0
RXNORM,OBI,0
RXNORM,OBOREL,0
RXNORM,OMIT,0
RXNORM,ORDO,0
RXNORM,PATO,0
RXNORM,PR,0
RXNORM,PW,0
RXNORM,PXO,0
RXNORM,SNOMEDCT,0
RXNORM,UBERON,0
RXNORM,UO,0
RXNORM,VO,0
SNOMEDCT,ATC,0
SNOMEDCT,BAO,0
SNOMEDCT,BFO,0
SNOMEDCT,BP,0
SNOMEDCT,ChEBI,0
SNOMEDCT,CL,0
SNOMEDCT,CLO,0
SNOMEDCT,DIDEO,0
SNOMEDCT,DOID,1
SNOMEDCT,DTO,0
SNOMEDCT,FMA,0
SNOMEDCT,GO,0
SNOMEDCT,HOOM,0
SNOMEDCT,HP,1
SNOMEDCT,HRDO,0
SNOMEDCT,IAO,0
SNOMEDCT,ICD10CM,0
SNOMEDCT,IDO,0
SNOMEDCT,MEDDRA,0
SNOMEDCT,MESH,0
SNOMEDCT,MP,0
SNOMEDCT,OBI,0
SNOMEDCT,OBOREL,0
SNOMEDCT,OMIT,0
SNOMEDCT,ORDO,0
SNOMEDCT,PATO,0
SNOMEDCT,PR,0
SNOMEDCT,PW,0
SNOMEDCT,PXO,0
SNOMEDCT,RXNORM,0
SNOMEDCT,UBERON,0
SNOMEDCT,UO,0
SNOMEDCT,VO,0
UBERON,ATC,0
UBERON,BAO,1
UBERON,BFO,0
UBERON,BP,0
UBERON,ChEBI,0
UBERON,CL,1
UBERON,CLO,1
UBERON,DIDEO,1
UBERON,DOID,0
UBERON,DTO,1
UBERON,FMA,0
UBERON,GO,0
UBERON,HOOM,0
UBERON,HP,0
UBERON,HRDO,0
UBERON,IAO,0
UBERON,ICD10CM,0
UBERON,IDO,1
UBERON,MEDDRA,0
UBERON,MESH,0
UBERON,MP,1
UBERON,OBI,1
UBERON,OBOREL,0
UBERON,OMIT,0
UBERON,ORDO,0
UBERON,PATO,0
UBERON,PR,0
UBERON,PW,0
UBERON,PXO,0
UBERON,RXNORM,0
UBERON,SNOMEDCT,0
UBERON,UO,0
UBERON,VO,1
UO,ATC,0
UO,BAO,1
UO,BFO,0
UO,BP,0
UO,ChEBI,0
UO,CL,0
UO,CLO,0
UO,DIDEO,1
UO,DOID,0
UO,DTO,0
UO,FMA,0
UO,GO,0
UO,HOOM,0
UO,HP,0
UO,HRDO,0
UO,IAO,1
UO,ICD10CM,0
UO,IDO,0
UO,MEDDRA,0
UO,MESH,0
UO,MP,0
UO,OBI,1
UO,OBOREL,0
UO,OMIT,0
UO,ORDO,0
UO,PATO,0
UO,PR,0
UO,PW,0
UO,PXO,0
UO,RXNORM,0
UO,SNOMEDCT,0
UO,UBERON,0
UO,VO,1
VO,ATC,0
VO,BAO,0
VO,BFO,0
VO,BP,0
VO,ChEBI,0
VO,CL,0
VO,CLO,1
VO,DIDEO,1
VO,DOID,0
VO,DTO,0
VO,FMA,0
VO,GO,0
VO,HOOM,0
VO,HP,0
VO,HRDO,0
VO,IAO,0
VO,ICD10CM,0
VO,IDO,0
VO,MEDDRA,0
VO,MESH,0
VO,MP,0
VO,OBI,1
VO,OBOREL,0
VO,OMIT,0
VO,ORDO,0
VO,PATO,0
VO,PR,0
VO,PW,0
VO,PXO,0
VO,RXNORM,0
VO,SNOMEDCT,0
VO,UBERON,0
VO,UO,0
